year,country,alt,grid,laps,driver_nationality,constructor_nationality,number,q1_millsec,race_month,top_3
2009,Australia,10.0,1,58,British,British,22,85211.0,3,yes
2009,Australia,10.0,2,58,Brazilian,British,23,85006.0,3,yes
2009,Australia,10.0,20,58,Italian,Japanese,9,86194.0,3,yes
2009,Australia,10.0,19,58,German,Japanese,10,85499.0,3,no
2009,Australia,10.0,10,58,Spanish,French,7,86026.0,3,no
2009,Australia,10.0,5,58,German,British,16,85846.0,3,no
2009,Australia,10.0,13,58,Swiss,Italian,12,86503.0,3,no
2009,Australia,10.0,17,58,French,Italian,11,86964.0,3,no
2009,Australia,10.0,16,58,German,Indian,20,86742.0,3,no
2009,Australia,10.0,9,58,German,German,6,85827.0,3,no
2009,Australia,10.0,15,58,Italian,Indian,21,86677.0,3,no
2009,Australia,10.0,8,57,Australian,Austrian,14,85427.0,3,no
2009,Australia,10.0,3,56,German,Austrian,15,85938.0,3,no
2009,Australia,10.0,4,55,Polish,German,5,85922.0,3,no
2009,Australia,10.0,7,55,Finnish,Italian,4,85899.0,3,no
2009,Australia,10.0,6,45,Brazilian,Italian,3,85844.0,3,no
2009,Australia,10.0,14,24,Brazilian,French,8,86598.0,3,no
2009,Australia,10.0,11,17,Japanese,British,17,86074.0,3,no
2009,Australia,10.0,12,0,Finnish,British,2,86184.0,3,no
2009,Australia,10.0,18,58,British,British,1,86454.0,3,no
2009,Malaysia,18.0,1,31,British,British,22,95058.0,4,yes
2009,Malaysia,18.0,10,31,German,German,5,95110.0,4,yes
2009,Malaysia,18.0,3,31,German,Japanese,10,94907.0,4,yes
2009,Malaysia,18.0,2,31,Italian,Japanese,9,94745.0,4,no
2009,Malaysia,18.0,8,31,Brazilian,British,23,94681.0,4,no
2009,Malaysia,18.0,5,31,Australian,Austrian,14,95027.0,4,no
2009,Malaysia,18.0,12,31,British,British,1,95280.0,4,no
2009,Malaysia,18.0,4,31,German,British,16,95083.0,4,no
2009,Malaysia,18.0,16,31,Brazilian,Italian,3,95642.0,4,no
2009,Malaysia,18.0,15,31,French,Italian,11,95507.0,4,no
2009,Malaysia,18.0,9,31,Spanish,French,7,95260.0,4,no
2009,Malaysia,18.0,11,31,Japanese,British,17,95341.0,4,no
2009,Malaysia,18.0,17,31,Brazilian,French,8,95708.0,4,no
2009,Malaysia,18.0,7,31,Finnish,Italian,4,95476.0,4,no
2009,Malaysia,18.0,13,30,German,Austrian,15,94935.0,4,no
2009,Malaysia,18.0,20,30,Swiss,Italian,12,96107.0,4,no
2009,Malaysia,18.0,19,30,German,Indian,20,95951.0,4,no
2009,Malaysia,18.0,18,29,Italian,Indian,21,95908.0,4,no
2009,Malaysia,18.0,6,1,Polish,German,5,95166.0,4,no
2009,Malaysia,18.0,14,0,Finnish,British,2,95023.0,4,no
2009,China,5.0,1,56,German,Austrian,15,96565.0,4,yes
2009,China,5.0,3,56,Australian,Austrian,14,95751.0,4,yes
2009,China,5.0,5,56,British,British,22,95533.0,4,yes
2009,China,5.0,4,56,Brazilian,British,23,95701.0,4,no
2009,China,5.0,12,56,Finnish,British,2,96646.0,4,no
2009,China,5.0,9,56,British,British,1,95776.0,4,no
2009,China,5.0,19,56,German,Japanese,10,96364.0,4,no
2009,China,5.0,10,56,Swiss,Italian,12,96284.0,4,no
2009,China,5.0,2,56,Spanish,French,7,96443.0,4,no
2009,China,5.0,8,56,Finnish,Italian,4,96137.0,4,no
2009,China,5.0,15,56,French,Italian,11,96906.0,4,no
2009,China,5.0,11,56,German,German,6,96525.0,4,no
2009,China,5.0,17,56,Polish,German,5,96966.0,4,no
2009,China,5.0,20,55,Italian,Indian,11,97672.0,4,no
2009,China,5.0,7,55,German,British,16,95941.0,4,no
2009,China,5.0,16,54,Brazilian,French,8,96908.0,4,no
